,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3,SURESTE3
,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
,ppm,ppb,ppb,ppb,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,ppb,KW/m2,DegC,km/hr,Deg
Date,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,
2015-01-02,,,,,,,,,,,,,,,
2015-01-03,,,,,,,,,,,,,,,
2015-01-04,,,,,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,
2015-01-10,,,,,,,,,,,,,,,
2015-01-11,,,,,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,
2015-01-17,,,,,,,,,,,,,,,
2015-01-18,,,,,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,
2015-01-24,,,,,,,,,,,,,,,
2015-01-25,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,
2015-01-31,,,,,,,,,,,,,,,
2015-02-01,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,,,,,,
2015-02-07,,,,,,,,,,,,,,,
2015-02-08,,,,,,,,,,,,,,,
2015-02-09,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,,,,,,
2015-02-14,,,,,,,,,,,,,,,
2015-02-15,,,,,,,,,,,,,,,
2015-02-16,,,,,,,,,,,,,,,
2015-02-17,,,,,,,,,,,,,,,
2015-02-18,,,,,,,,,,,,,,,
2015-02-19,,,,,,,,,,,,,,,
2015-02-20,,,,,,,,,,,,,,,
2015-02-21,,,,,,,,,,,,,,,
2015-02-22,,,,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,,,,
2015-02-24,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,,,,
2015-02-26,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,,,,
2015-02-28,,,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,,,
2015-03-02,,,,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,,,,
2015-03-05,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,,,,
2015-03-07,,,,,,,,,,,,,,,
2015-03-08,,,,,,,,,,,,,,,
2015-03-09,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,,,,
2015-03-11,,,,,,,,,,,,,,,
2015-03-12,,,,,,,,,,,,,,,
2015-03-13,,,,,,,,,,,,,,,
2015-03-14,,,,,,,,,,,,,,,
2015-03-15,,,,,,,,,,,,,,,
2015-03-16,,,,,,,,,,,,,,,
2015-03-17,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,,,,,,,,
2015-03-19,,,,,,,,,,,,,,,
2015-03-20,,,,,,,,,,,,,,,
2015-03-21,,,,,,,,,,,,,,,
2015-03-22,,,,,,,,,,,,,,,
2015-03-23,,,,,,,,,,,,,,,
2015-03-24,,,,,,,,,,,,,,,
2015-03-25,,,,,,,,,,,,,,,
2015-03-26,,,,,,,,,,,,,,,
2015-03-27,,,,,,,,,,,,,,,
2015-03-28,,,,,,,,,,,,,,,
2015-03-29,,,,,,,,,,,,,,,
2015-03-30,,,,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,,,,,
2015-04-02,,,,,,,,,,,,,,,
2015-04-03,,,,,,,,,,,,,,,
2015-04-04,,,,,,,,,,,,,,,
2015-04-05,,,,,,,,,,,,,,,
2015-04-06,,,,,,,,,,,,,,,
2015-04-07,,,,,,,,,,,,,,,
2015-04-08,,,,,,,,,,,,,,,
2015-04-09,,,,,,,,,,,,,,,
2015-04-10,,,,,,,,,,,,,,,
2015-04-11,,,,,,,,,,,,,,,
2015-04-12,,,,,,,,,,,,,,,
2015-04-13,,,,,,,,,,,,,,,
2015-04-14,,,,,,,,,,,,,,,
2015-04-15,,,,,,,,,,,,,,,
2015-04-16,,,,,,,,,,,,,,,
2015-04-17,,,,,,,,,,,,,,,
2015-04-18,,,,,,,,,,,,,,,
2015-04-19,,,,,,,,,,,,,,,
2015-04-20,,,,,,,,,,,,,,,
2015-04-21,,,,,,,,,,,,,,,
2015-04-22,,,,,,,,,,,,,,,
2015-04-23,,,,,,,,,,,,,,,
2015-04-24,,,,,,,,,,,,,,,
2015-04-25,,,,,,,,,,,,,,,
2015-04-26,,,,,,,,,,,,,,,
2015-04-27,,,,,,,,,,,,,,,
2015-04-28,,,,,,,,,,,,,,,
2015-04-29,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,,,,,,,,
2015-05-02,,,,,,,,,,,,,,,
2015-05-03,,,,,,,,,,,,,,,
2015-05-04,,,,,,,,,,,,,,,
2015-05-05,,,,,,,,,,,,,,,
2015-05-06,,,,,,,,,,,,,,,
2015-05-07,,,,,,,,,,,,,,,
2015-05-08,,,,,,,,,,,,,,,
2015-05-09,,,,,,,,,,,,,,,
2015-05-10,,,,,,,,,,,,,,,
2015-05-11,,,,,,,,,,,,,,,
2015-05-12,,,,,,,,,,,,,,,
2015-05-13,,,,,,,,,,,,,,,
2015-05-14,,,,,,,,,,,,,,,
2015-05-15,,,,,,,,,,,,,,,
2015-05-16,,,,,,,,,,,,,,,
2015-05-17,,,,,,,,,,,,,,,
2015-05-18,,,,,,,,,,,,,,,
2015-05-19,,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,,
2015-05-21,,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,,
2015-05-23,,,,,,,,,,,,,,,
2015-05-24,,,,,,,,,,,,,,,
2015-05-25,,,,,,,,,,,,,,,
2015-05-26,,,,,,,,,,,,,,,
2015-05-27,,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,
2015-05-30,,,,,,,,,,,,,,,
2015-05-31,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,,
2015-06-05,,,,,,,,,,,,,,,
2015-06-06,,,,,,,,,,,,,,,
2015-06-07,,,,,,,,,,,,,,,
2015-06-08,,,,,,,,,,,,,,,
2015-06-09,,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,,,,,,,
2015-06-11,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,,,,,,,
2015-06-13,,,,,,,,,,,,,,,
2015-06-14,,,,,,,,,,,,,,,
2015-06-15,,,,,,,,,,,,,,,
2015-06-16,,,,,,,,,,,,,,,
2015-06-17,,,,,,,,,,,,,,,
2015-06-18,,,,,,,,,,,,,,,
2015-06-19,,,,,,,,,,,,,,,
2015-06-20,,,,,,,,,,,,,,,
